station_id,name,latitude,longitude
II.TAU.10.LHZ,TAU,-42.9099006652832,147.32040405273438
IU.QSPA.80.LHZ,QSPA,-89.92890167236328,144.43820190429688
IU.SSPA.00.LHZ,SSPA,40.635799407958984,-77.88760375976562
IU.TARA.10.LHZ,TARA,1.3549000024795532,172.9228973388672
IU.WAKE.00.LHZ,WAKE,19.28339958190918,166.65199279785156
II.RPN.00.LHZ,RPN,-27.126699447631836,-109.33439636230469
IU.XMAS.10.LHZ,XMAS,2.044800043106079,-157.44569396972656
IU.SFJD.10.LHZ,SFJD,66.99610137939453,-50.620758056640625
II.JTS.00.LHZ,JTS,10.290800094604492,-84.95249938964844
II.FFC.00.LHZ,FFC,54.724998474121094,-101.97830200195312
II.EFI.00.LHZ,EFI,-51.67530059814453,-58.06370162963867
IU.TIXI.10.LHZ,TIXI,71.63410186767578,128.86669921875
II.RPN.10.LHZ,RPN,-27.126699447631836,-109.33439636230469
IU.MAKZ.00.LHZ,MAKZ,46.80799865722656,81.97699737548828
IU.CHTO.00.LHZ,CHTO,18.81410026550293,98.94429779052734
G.UNM.00.LHZ,UNM,19.329662322998047,-99.17806243896484
IU.PAB.10.LHZ,PAB,39.54460144042969,-4.349898815155029
II.COCO.10.LHZ,COCO,-12.190099716186523,96.83489990234375
II.XPFO.60.LHZ,XPFO,33.61069869995117,-116.45549774169922
IU.CCM.00.LHZ,CCM,38.05569839477539,-91.24459838867188
IU.KONO.10.LHZ,KONO,59.64910125732422,9.598199844360352
IU.MA2.10.LHZ,MA2,59.575599670410156,150.77000427246094
G.MBO.00.LHZ,MBO,14.392024040222168,-16.955467224121094
IU.HRV.60.LHZ,HRV,42.50640106201172,-71.55829620361328
IU.PMG.00.LHZ,PMG,-9.40470027923584,147.15969848632812
IU.COLA.10.LHZ,COLA,64.87359619140625,-147.86160278320312
IU.AFI.10.LHZ,AFI,-13.909299850463867,-171.7772979736328
IU.JOHN.00.LHZ,JOHN,16.732900619506836,-169.52920532226562
IU.SLBS.00.LHZ,SLBS,23.685800552368164,-109.94429779052734
IU.KMBO.60.LHZ,KMBO,-1.1270999908447266,37.252498626708984
IU.GUMO.00.LHZ,GUMO,13.589300155639648,144.86839294433594
G.TRIS.00.LHZ,TRIS,-37.06809997558594,-12.315199851989746
II.ERM.00.LHZ,ERM,42.01499938964844,143.15719604492188
IU.WVT.00.LHZ,WVT,36.12969970703125,-87.83000183105469
II.KDAK.00.LHZ,KDAK,57.782798767089844,-152.58349609375
IU.NWAO.10.LHZ,NWAO,-32.92770004272461,117.23899841308594
G.SSB.10.LHZ,SSB,45.27899932861328,4.541999816894531
II.XPFO.20.LHZ,XPFO,33.61069869995117,-116.45549774169922
IU.INCN.00.LHZ,INCN,37.47768020629883,126.62435913085938
II.BORG.00.LHZ,BORG,64.74739837646484,-21.326799392700195
II.ESK.00.LHZ,ESK,55.31669998168945,-3.2049999237060547
II.ALE.00.LHZ,ALE,82.50330352783203,-62.349998474121094
IU.RSSD.10.LHZ,RSSD,44.12120056152344,-104.03589630126953
II.CMLA.00.LHZ,CMLA,37.76369857788086,-25.52429962158203
IU.FURI.10.LHZ,FURI,8.8951997756958,38.6797981262207
II.SIMI.00.LHZ,SIMI,38.65850067138672,69.00830078125
IU.QSPA.10.LHZ,QSPA,-89.92890167236328,144.43820190429688
IU.SNZO.10.LHZ,SNZO,-41.30870056152344,174.7042999267578
IU.MAJO.00.LHZ,MAJO,36.54566955566406,138.2040557861328
IU.SJG.10.LHZ,SJG,18.109100341796875,-66.1500015258789
II.HOPE.00.LHZ,HOPE,-54.283599853515625,-36.48789978027344
G.MPG.00.LHZ,MPG,5.110109806060791,-52.64448165893555
IU.RCBR.00.LHZ,RCBR,-5.827400207519531,-35.90140151977539
IU.KBS.00.LHZ,KBS,78.91539764404297,11.93850040435791
IU.HRV.00.LHZ,HRV,42.50640106201172,-71.55829620361328
IU.KONO.00.LHZ,KONO,59.64910125732422,9.598199844360352
IU.LCO.60.LHZ,LCO,-29.01099967956543,-70.70050048828125
II.MSVF.00.LHZ,MSVF,-17.744800567626953,178.05279541015625
II.FFC.10.LHZ,FFC,54.724998474121094,-101.97830200195312
G.FDF.00.LHZ,FDF,14.734971046447754,-61.14631271362305
IU.POHA.00.LHZ,POHA,19.757299423217773,-155.5325927734375
II.NIL.10.LHZ,NIL,33.65060043334961,73.26860046386719
II.ARU.00.LHZ,ARU,56.429298400878906,58.561500549316406
IU.PET.00.LHZ,PET,53.02330017089844,158.64990234375
IU.YAK.10.LHZ,YAK,62.03099822998047,129.6804962158203
IU.RAR.00.LHZ,RAR,-21.212499618530273,-159.77330017089844
G.PAF.00.LHZ,PAF,-49.35100173950195,70.21070861816406
II.XPFO.30.LHZ,XPFO,33.61069869995117,-116.45549774169922
II.KURK.10.LHZ,KURK,50.71540069580078,78.62020111083984
IU.HRV.10.LHZ,HRV,42.50640106201172,-71.55829620361328
II.COCO.00.LHZ,COCO,-12.190099716186523,96.83489990234375
IU.ANMO.10.LHZ,ANMO,34.9459114074707,-106.45719909667969
II.SHEL.10.LHZ,SHEL,-15.959400177001953,-5.745500087738037
IU.PTCN.10.LHZ,PTCN,-25.071300506591797,-130.09530639648438
IU.DWPF.10.LHZ,DWPF,28.110300064086914,-81.43270111083984
IU.CTAO.00.LHZ,CTAO,-20.088199615478516,146.25450134277344
IU.LSZ.10.LHZ,LSZ,-15.277899742126465,28.188199996948242
IU.AFI.00.LHZ,AFI,-13.909299850463867,-171.7772979736328
