index,period,frequency,rlnm_rot_rate,rhnm_rot_rate,nlnm_acc,nhnm_acc,gsn_horizontal_acc,gsn_vertical_acc,gsn_vertical_rot_rate,gsn_transverse_rot_rate
12,0.118032,8.47227870408025,2.5649734896196777e-24,7.8419285463897e-17,1.7402033485388387e-17,5.320347508719518e-10,1.095914557223533e-16,5.890163880095393e-17,3.0310582768102152e-24,8.681809637158545e-24
13,0.119674,8.356033892073466,2.5851329357355092e-24,7.657603594704796e-17,1.7538805018417603e-17,5.195292454763038e-10,1.067264691714129e-16,5.97935325442158e-17,2.951819059291485e-24,8.813270354605457e-24
14,0.121339,8.241373342453786,2.6054508253086868e-24,7.477439034530835e-17,1.7676651509282226e-17,5.073060013698222e-10,1.0386009938507791e-16,6.070476271041369e-17,2.8725415845284838e-24,8.947581164959996e-24
15,0.123027,8.128297040487048,2.6259284036278687e-24,7.301513302906957e-17,1.7815581406629004e-17,4.953703401045118e-10,1.0099396328410607e-16,6.16356148720166e-17,2.7932705729879074e-24,9.084784160188766e-24
16,0.124738,8.016803219548173,2.645957601367683e-24,7.129726670633094e-17,1.795146927103161e-17,4.837154955641297e-10,9.812970012509744e-17,6.258637854633846e-17,2.7140513628966512e-24,9.224922013708965e-24
17,0.126474,7.906763445451239,2.6667535432771866e-24,6.961981754891646e-17,1.8092559102538222e-17,4.723348608224849e-10,9.526569636174597e-17,6.355847142845978e-17,2.6348393271179217e-24,9.36820368674923e-24
18,0.128233,7.7983046485694,2.6877129311919014e-24,6.798339999804194e-17,1.8234757831609372e-17,4.612326045490224e-10,9.240701003124418e-17,6.455108417207793e-17,2.555774359819524e-24,9.514509885675752e-24
19,0.130017,7.691301906673743,2.708837049718062e-24,6.638391796579765e-17,1.8378074173641455e-17,4.503809368818764e-10,8.955217393138704e-17,6.556566031883764e-17,2.4768158814201578e-24,9.66405338137263e-24
20,0.131826,7.585756982689302,2.730127193558283e-24,6.482206780797509e-17,1.8522516912529645e-17,4.397845822389997e-10,8.670307119746095e-17,6.660253245868846e-17,2.39801597529401e-24,9.816883195950088e-24
21,0.13366,7.481669908723627,2.7515846675909375e-24,6.32969641392153e-17,1.866809490120643e-17,4.294375337334879e-10,8.386161135398013e-17,6.766203784231356e-17,2.3194274546831856e-24,9.973049038487372e-24
22,0.135519,7.379039101528199,2.7725723050790274e-24,6.180774240509806e-17,1.8810485289187043e-17,4.1933392580570426e-10,8.102973031468642e-17,6.874451838112962e-17,2.2411038626976993e-24,1.0132601305032758e-23
23,0.137404,7.277808506302582,2.794363377077505e-24,6.035494810007754e-17,1.895832656947109e-17,4.094774593565725e-10,7.820790665181669e-17,6.985090993396044e-17,2.1630584355915094e-24,1.0295677936538669e-23
24,0.139316,7.177926440609837,2.8163257163204953e-24,5.89349447603523e-17,1.9107329810428815e-17,3.9984346283876614e-10,7.570939980465791e-17,7.067517323710861e-17,2.0939552394633923e-24,1.0417170262295692e-23
25,0.141254,7.079445537825478,2.838460668885331e-24,5.75483506032756e-17,1.9257504144506578e-17,3.904361305408909e-10,7.480239092828221e-17,6.994507939440966e-17,2.0688693717398726e-24,1.0309558048296114e-23
26,0.143219,6.982313799146761,2.8607695914289252e-24,5.61943795930309e-17,1.9408858775927793e-17,3.8125012961188434e-10,7.38883262945982e-17,6.920868418866616e-17,2.043588357310366e-24,1.0201017044613928e-23
27,0.145211,6.886530634731528,2.883253851270835e-24,5.4872264187288326e-17,1.956140298125644e-17,3.722802526695338e-10,7.296743753452086e-17,6.846614825941843e-17,2.018118602575786e-24,1.0091570928721223e-23
28,0.147231,6.79204787035339,2.905914826477108e-24,5.358248867029262e-17,1.9715146109965965e-17,3.635297853347929e-10,7.203950155654675e-17,6.771726473790329e-17,1.9924539373165333e-24,9.98118920918757e-24
29,0.149279,6.698865882006176,2.928079613069955e-24,5.232182462769514e-17,1.9865522852667662e-17,3.549768244672093e-10,7.110476529394423e-17,6.696220487607441e-17,1.9666011911629108e-24,9.869897127702202e-24
30,0.151356,6.606939929702159,2.951330888448111e-24,5.109494113538543e-17,2.002165621589027e-17,3.466250937121323e-10,7.016302720074873e-17,6.620077674732547e-17,1.9407992629079953e-24,9.758453304106514e-24
31,0.153462,6.516271129009136,2.9748995042325728e-24,4.9899052515880983e-17,2.017901671153197e-17,3.3846985862042576e-10,6.921455024604712e-17,6.543316272469254e-17,1.9149378244662033e-24,9.646509844001163e-24
32,0.155597,6.426859129674736,2.9986615292081974e-24,4.873123837802476e-17,2.0337613984257348e-17,3.305064961328899e-10,6.825960107061783e-17,6.465954772758545e-17,1.8888922165902806e-24,9.533669899369564e-24
33,0.157761,6.338702214108683,3.0226185919041626e-24,4.75919335278864e-17,2.0497457754533905e-17,3.22737923189274e-10,6.729844998693097e-17,6.38801192217876e-17,1.8626696006833176e-24,9.419960188483397e-24
34,0.159956,6.251719222786266,3.0467726974020873e-24,4.647828077190015e-17,2.0658557819227258e-17,3.151446944116626e-10,6.633049220450614e-17,6.309435347309261e-17,1.8362532566038604e-24,9.305303652084542e-24
35,0.162181,6.165950388763172,3.070418257213235e-24,4.539076892296865e-17,2.0816130409176413e-17,3.0773011561326465e-10,6.535646094568209e-17,6.230281113370788e-17,1.8096629714613562e-24,9.189781434897018e-24
36,0.164437,6.081356385728273,3.094965620881239e-24,4.432878512717267e-17,2.097973508619245e-17,3.0048998359989114e-10,6.456551364289706e-17,6.126097110408355e-17,1.788137282236052e-24,9.037320952337519e-24
37,0.166725,5.9979007347428395,3.119715203624159e-24,4.3291730820211864e-17,2.114462561652602e-17,2.9342019406816346e-10,6.456551364289706e-17,5.919590896159926e-17,1.7885176676594473e-24,8.733868384764245e-24
38,0.169044,5.915619601997113,3.1446685317100168e-24,4.2279989887577234e-17,2.131081210635948e-17,2.865233366465424e-10,6.456551364289706e-17,5.713899535647547e-17,1.788903330775169e-24,8.431551070614192e-24
39,0.171396,5.834441877290018,3.1552636707980655e-24,4.129102435656006e-17,2.137962089502241e-17,2.79782147932856e-10,6.456551364289706e-17,5.508996241408557e-17,1.7892946094135492e-24,8.13032924598137e-24
40,0.17378,5.754402117619979,3.155711341770649e-24,4.032526877379905e-17,2.137962089502241e-17,2.7319956279333465e-10,6.456551364289706e-17,5.305123204727572e-17,1.7896913425910422e-24,7.830558618814042e-24
41,0.176198,5.675433319333932,3.1561654946411502e-24,3.938218133166754e-17,2.137962089502241e-17,2.6677184967634653e-10,6.456551364289706e-17,5.1022690589953015e-17,1.7900938686764214e-24,7.532222216402991e-24
42,0.178649,5.597568416279968,3.156625945690038e-24,3.846122582689959e-17,2.137962089502241e-17,2.604953648244839e-10,6.456551364289706e-17,4.900682027626146e-17,1.7905020269029752e-24,7.235684915060015e-24
43,0.181134,5.520774675102411,3.1570928869411447e-24,3.7562748264316015e-17,2.137962089502241e-17,2.543724072826776e-10,6.456551364289706e-17,4.700446482163912e-17,1.79091598958569e-24,6.941070764141655e-24
44,0.183654,5.4450216167358185,3.157566510644579e-24,3.668449181694904e-17,2.137962089502241e-17,2.483876507838997e-10,6.456551364289706e-17,4.501655816984946e-17,1.7913359293550043e-24,6.648517164993036e-24
45,0.186209,5.3703097057607305,3.158046821272772e-24,3.5826844980934343e-17,2.137962089502241e-17,2.425437008715437e-10,6.456551364289706e-17,4.304488987301845e-17,1.791761852433771e-24,6.3582875628618555e-24
46,0.188799,5.296638223719405,3.158533823362556e-24,3.498932238939169e-17,2.137962089502241e-17,2.368372447132877e-10,6.456551364289706e-17,4.1091274338162647e-17,1.792193765136228e-24,6.070649263587913e-24
47,0.191426,5.223950769487948,3.1590278977103495e-24,3.417145421572466e-17,2.137962089502241e-17,2.3126504741959541e-10,6.456551364289706e-17,3.9156095281057753e-17,1.7926320075741325e-24,5.785659061291617e-24
48,0.194089,5.152275502475668,3.1595288611081127e-24,3.337354393665329e-17,2.137962089502241e-17,2.258291500583973e-10,6.400822000823309e-17,3.771429805536805e-17,1.77759958046119e-24,5.5735044960554725e-24
49,0.196789,5.08158484468136,3.1600369066137862e-24,3.25935867474939e-17,2.137962089502241e-17,2.2051594613088241e-10,6.263691449324928e-17,3.6964206139678173e-17,1.739953761396437e-24,5.463532594829976e-24
50,0.199526,5.011878151218387,3.1605520393040924e-24,3.183192812282856e-17,2.137962089502241e-17,2.153277488110985e-10,6.12619724790226e-17,3.6211525090651424e-17,1.702193779203755e-24,5.353154297427953e-24
51,0.202302,4.943104863026564,3.1610746408888612e-24,3.108814083835804e-17,2.137962089502241e-17,2.1026161700132008e-10,5.988302495577713e-17,3.545602745769854e-17,1.6643092118024634e-24,5.242335671596694e-24
52,0.205116,4.875290079759746,3.1616045285458185e-24,3.036180208527834e-17,2.137962089502241e-17,2.0531467880061412e-10,5.850122166441441e-17,3.469831672820317e-17,1.6263313623390404e-24,5.131164665615989e-24
53,0.20797,4.808385824878589,3.1621420844683625e-24,2.965318726112492e-17,2.137962089502241e-17,2.0048874624763925e-10,5.711625128974376e-17,3.393819472588846e-17,1.5882513947443533e-24,5.0196116357984484e-24
54,0.210863,4.742415691705041,3.162687126042594e-24,2.896051167741087e-17,2.137962089502241e-17,1.9577173963573888e-10,5.572928789503361e-17,3.317627727934068e-17,1.5501013153792789e-24,4.907766398506115e-24
55,0.213796,4.677355984209246,3.1632398474895783e-24,2.82840842905956e-17,2.137962089502241e-17,1.9116571257652155e-10,5.43405504240068e-17,3.2412655373648604e-17,1.511886885833192e-24,4.795641772335786e-24
56,0.21677,4.613184481247405,3.1638004433115452e-24,2.7623524050273762e-17,2.137962089502241e-17,1.8666805399433706e-10,5.295029133314915e-17,3.1647436998323364e-17,1.473614791079134e-24,4.683253070604305e-24
57,0.219786,4.549880338147107,3.1643691082990186e-24,2.6978458802846137e-17,2.137962089502241e-17,1.8227621424571383e-10,5.1558797416645235e-17,3.088074756587195e-17,1.4352926639063921e-24,4.570618165702647e-24
58,0.222844,4.487444131320565,3.1649458489117708e-24,2.426421713896047e-17,2.137962089502241e-17,1.6390794298229452e-10,5.01668427209392e-17,3.011297982853125e-17,1.396941568096963e-24,4.457794222574963e-24
59,0.225944,4.425875438161668,3.1655306717034734e-24,2.1714334610697887e-17,2.137962089502241e-17,1.4665605552782722e-10,4.877521207163641e-17,2.934453200789953e-17,1.3585828910852974e-24,4.344839254816586e-24
60,0.229087,4.365153849847438,3.1661237720535413e-24,1.9432464749354965e-17,2.137962089502241e-17,1.3121998990192044e-10,4.760733436046258e-17,2.873582734506949e-17,1.3264415048424714e-24,4.2555097919455106e-24
61,0.232274,4.305260166871884,3.166725345650696e-24,1.7390433101494385e-17,2.137962089502241e-17,1.1740862447096797e-10,4.686156445631778e-17,2.843045248973969e-17,1.3060508445217236e-24,4.211086573033561e-24
62,0.235505,4.246194348315322,3.16733539966064e-24,1.556302641909705e-17,2.137962089502241e-17,1.0505095382546577e-10,4.6111508328265135e-17,2.8122526824995305e-17,1.2855337838798266e-24,4.166279429278918e-24
63,0.238781,4.1879379012568005,3.1679541302479903e-24,1.392768335884195e-17,2.137962089502241e-17,9.39939714766778e-11,4.5357183882460785e-17,2.7812024330626914e-17,1.2648905736491312e-24,4.12108417550473e-24
64,0.242103,4.1304733935556355,3.1685817339055518e-24,1.2464214499879788e-17,2.137962089502241e-17,8.410077540692354e-11,4.4598620090519554e-17,2.7498922052420617e-17,1.2441217627723933e-24,4.075497060739682e-24
65,0.245471,4.073800978526995,3.1692182184539855e-24,1.1154552293313378e-17,2.137962089502241e-17,7.524887301735842e-11,4.3836082683432727e-17,2.7183293618596774e-17,1.2232343825609686e-24,4.02952839045421e-24
66,0.248886,4.017903779240295,3.169863780893685e-24,9.982529438569373e-18,2.137962089502241e-17,6.732866448596836e-11,4.3069617620525864e-17,2.686512078186297e-17,1.2022294477969732e-24,3.98317508780468e-24
67,0.252348,3.9627815556295274,3.1700832946825835e-24,8.932451638608356e-18,2.137962089502241e-17,6.024208575746278e-11,4.2299504010460283e-17,2.654448087709805e-17,1.1804430744193712e-24,3.935907741661648e-24
68,0.255859,3.9084026749107905,3.170096578458743e-24,7.992313179177697e-18,2.137962089502241e-17,5.390139436325512e-11,4.152558598386468e-17,2.6221268753099342e-17,1.1582404180091273e-24,3.8879994535544005e-24
69,0.259418,3.8547826288075617,3.170110043926857e-24,7.151124483887347e-18,2.137962089502241e-17,4.822808303816465e-11,4.0748380052184787e-17,2.5895658505454175e-17,1.1359610139143428e-24,3.839735396868186e-24
70,0.263027,3.801891060613549,3.170123698657464e-24,6.398471042079978e-18,2.137962089502241e-17,4.3151907682776504e-11,3.9967752772586593e-17,2.5567551196860686e-17,1.1136014143595388e-24,3.791100897615853e-24
71,0.266686,3.749728144709509,3.1701375426542318e-24,5.725034463052832e-18,2.137962089502241e-17,3.861001763618362e-11,3.918401793690171e-17,2.5237033772142354e-17,1.091170987786643e-24,3.742108834349252e-24
72,0.270396,3.6982795603485257,3.1701515797044633e-24,5.122477132885773e-18,2.137962089502241e-17,3.454617749058196e-11,3.8687498371748247e-17,2.4951763810223152e-17,1.0767504587841678e-24,3.699825822346916e-24
73,0.274157,3.6475450198244075,3.1701658098120044e-24,4.583338972668026e-18,2.137962089502241e-17,3.091007081261622e-11,3.834815668602272e-17,2.469059022083094e-17,1.066709739039175e-24,3.6611156636729885e-24
74,0.277971,3.5974975806828766,3.1701802405480246e-24,4.100945094033397e-18,2.137962089502241e-17,2.765667715050154e-11,3.8005559549689407e-17,2.442713942652457e-17,1.0565812449930496e-24,3.622067721561375e-24
75,0.281838,3.5481375825829025,3.170194871916632e-24,3.669323135069301e-18,2.137962089502241e-17,2.4745714613338048e-11,3.7659771047676076e-17,2.416147033612078e-17,1.0463671430032314e-24,3.582690719056159e-24
76,0.285759,3.499452335709462,3.170209707705682e-24,3.2831293345122306e-18,2.137962089502241e-17,2.2141141120912635e-11,3.731076735372317e-17,2.3893574544105846e-17,1.0360670038575911e-24,3.542983401971792e-24
77,0.289734,3.451441667184383,3.170224747919476e-24,2.93758236197163e-18,2.137962089502241e-17,1.981070814871236e-11,3.695861559370303e-17,2.362351375462538e-17,1.0256830859403883e-24,3.5029549076413126e-24
78,0.293765,3.4040814937109594,3.170240000129863e-24,2.628404132458352e-18,2.137962089502241e-17,1.772556144284595e-11,3.660320790648557e-17,2.3351215811063506e-17,1.0152124921234503e-24,3.4625945324004235e-24
79,0.297852,3.3573721176960367,3.17025546434143e-24,2.351766825258613e-18,2.137962089502241e-17,1.585988376112283e-11,3.624461585698675e-17,2.307674649806991e-17,1.0046576201714475e-24,3.421912018176196e-24
80,0.301995,3.3113131012102848,3.170271140558833e-24,2.104245500841069e-18,2.137962089502241e-17,1.4190575216890898e-11,3.588291200432632e-17,2.2800172514196632e-17,9.940208941197213e-25,3.38091724247314e-24
81,0.306196,3.265881984088623,3.1702870363544363e-24,1.8827757015805905e-18,2.137962089502241e-17,1.2696967267809437e-11,3.5517996617695105e-17,2.2521429176466327e-17,9.832996752887175e-25,3.339600608865283e-24
82,0.310456,3.2210683639549567,3.1703031555170516e-24,1.6846155026644973e-18,2.137962089502241e-17,1.1360566808309085e-11,3.514986075197543e-17,2.2240521758563974e-17,9.724940043202051e-25,3.297962889881594e-24
83,0.314775,3.176872369152569,3.170319498051785e-24,1.507311566276624e-18,2.137962089502241e-17,1.0164827197220953e-11,3.4778584089300363e-17,2.1957523506732315e-17,9.616065256010697e-25,3.256014933292432e-24
84,0.319154,3.1332836185665855,3.1703360677477354e-24,1.3486687715802927e-18,2.137962089502241e-17,9.094943385552955e-12,3.418026669782179e-17,2.1934020197554692e-17,9.44450855756081e-25,3.2525466978324584e-24
85,0.323593,3.090301706155572,3.17035286461024e-24,1.2873825036025866e-18,2.137962089502241e-17,8.681604556119928e-12,3.349187486655803e-17,2.2013571002668114e-17,9.248217281754615e-25,3.2643604033623636e-24
86,0.328095,3.0478977125527664,3.170369899996638e-24,1.2456898795261199e-18,2.137962089502241e-17,8.400400652637666e-12,3.280086571446062e-17,2.2094397900818626e-17,9.051375127739645e-25,3.276363711370237e-24
87,0.332659,3.006081302474907,3.170387170128691e-24,1.205347584313675e-18,2.137962089502241e-17,8.128305161640996e-12,3.21076927003655e-17,2.2176489106657023e-17,8.854115097064277e-25,3.2885548760414728e-24
88,0.337287,2.964834102707783,3.1704046825802263e-24,1.1663118837934191e-18,2.137962089502241e-17,7.86502305458658e-12,3.1412358668295805e-17,2.225988689810605e-17,8.65644173266422e-25,3.300940180463742e-24
89,0.341979,2.9241561616356564,3.1704224373572628e-24,1.1282806313374533e-18,2.137962089502241e-17,7.608516731700463e-12,3.0715179407267796e-17,2.2344597768663943e-17,8.458448505322535e-25,3.313520593622337e-24
90,0.346737,2.88403025924548,3.170440442034109e-24,1.091740946703731e-18,2.137962089502241e-17,7.362070974947376e-12,3.0016182944079856e-17,2.2430664514081166e-17,8.260147023792833e-25,3.3263024759105644e-24
91,0.35156,2.844464671748777,3.170037249080017e-24,1.0562442685318828e-18,2.137962089502241e-17,7.123607787355021e-12,2.931584843387846e-17,2.251807587739594e-17,8.063226057908348e-25,3.3388402750197826e-24
92,0.356451,2.805434688077744,3.168734932304205e-24,1.0216118259083897e-18,2.137962089502241e-17,6.892868607318448e-12,2.861408227584485e-17,2.260689326307836e-17,7.86926416250866e-25,3.350632489945932e-24
93,0.36141,2.7669405937854514,3.167415328475103e-24,9.881093620445062e-19,2.137962089502241e-17,6.669603248243559e-12,2.791123906307183e-17,2.2697123962546138e-17,7.675039749079196e-25,3.362604917283911e-24
94,0.366438,2.7289746150781307,3.1660782049715303e-24,9.554800819290026e-19,2.137962089502241e-17,6.45208380901972e-12,2.7207539255651235e-17,2.278879361879123e-17,7.48061431758401e-25,3.3747606259401615e-24
95,0.371535,2.6915364635902406,3.164723595943634e-24,9.241357797198087e-19,2.137962089502241e-17,6.243095811356078e-12,2.650335273972105e-17,2.2881909837698777e-17,7.286090616711726e-25,3.3871002829839545e-24
96,0.376704,2.6546041454298335,3.163350739437388e-24,8.938144004258305e-19,2.137962089502241e-17,6.040877096990732e-12,2.5698965722060455e-17,2.285021193694135e-17,7.064060101108346e-25,3.380940905451387e-24
97,0.381944,2.6181848647969335,3.1619599373475695e-24,8.644828123167232e-19,2.137962089502241e-17,5.845208403588554e-12,2.4856897113246704e-17,2.2767585120454218e-17,6.831717383931914e-25,3.3672342636247406e-24
98,0.387257,2.5822644910227575,3.1605506958485366e-24,8.359162365265078e-19,2.137962089502241e-17,5.654575406876208e-12,2.4017418507833482e-17,2.2683960007973653e-17,6.600134211298138e-25,3.3533712286027105e-24
99,0.392645,2.5468298335646704,3.159122522991012e-24,8.08474766997097e-19,2.137962089502241e-17,5.471419324763773e-12,2.3180816509231532e-17,2.2599311549798006e-17,6.369389970485656e-25,3.339347992727023e-24
100,0.398107,2.5118875076298584,3.1576757231267943e-24,7.819293740217375e-19,2.137962089502241e-17,5.294195810174285e-12,2.2347861522065787e-17,2.251366201980275e-17,6.139697410803539e-25,3.325168596191724e-24
101,0.403645,2.4774244695214858,3.1344826110504005e-24,7.56250830991088e-19,2.123244462000228e-17,5.122712702645392e-12,2.1518876428579415e-17,2.2426986755372583e-17,5.91114576784066e-25,3.310829311512668e-24
102,0.409261,2.443428521163756,3.0971440780350054e-24,7.314108677293406e-19,2.09893988362352e-17,4.956784065941179e-12,2.069421544229331e-17,2.2339261428189313e-17,5.683832866803699e-25,3.296326482707513e-24
103,0.414954,2.40990567629183,3.0609356468158377e-24,7.072194547363369e-19,2.0753913389574866e-17,4.795125740813518e-12,1.9874692388308053e-17,2.225050877541434e-17,5.457983129537355e-25,3.2816642428827973e-24
104,0.420727,2.376838187233051,3.0244341122859748e-24,6.839811416870225e-19,2.0516345307506354e-17,4.639807899821266e-12,1.9060560422199995e-17,2.2160689336620532e-17,5.233666353240162e-25,3.266836455366403e-24
105,0.42658,2.3442261709409724,2.9883481828599354e-24,6.615020543368915e-19,2.028149664478565e-17,4.4895209241356675e-12,1.8252527332919638e-17,2.2069810663744115e-17,5.011077528072421e-25,3.2518447601853293e-24
106,0.432514,2.312063886949324,2.9526731392083126e-24,6.397574813483412e-19,2.0049336272477223e-17,4.344101860128392e-12,1.7451177189271442e-17,2.1977864934812163e-17,4.790377434422107e-25,3.236688265798144e-24
107,0.43853,2.280345700408182,2.9174043190292004e-24,6.185810644471097e-19,1.981983341797502e-17,4.202425276773121e-12,1.6657116158286107e-17,2.1884844563634472e-17,4.57173282441217e-25,3.221366128805392e-24
108,0.444631,2.24905595876131,2.8832004387938896e-24,5.982391563985348e-19,1.9597469625587223e-17,4.0663054634042785e-12,1.6291981156932344e-17,2.180665167971149e-17,4.4708494988045795e-25,3.2082176369075884e-24
109,0.450817,2.218194966028344,2.8485804733089058e-24,5.785334747866437e-19,1.9373139245819654e-17,3.934594676340788e-12,1.59613903378703e-17,2.1728859145614492e-17,4.379106328912472e-25,3.194959943460537e-24
110,0.457088,2.1877625315037803,2.8134260366033308e-24,5.592880013014467e-19,1.9151376754674697e-17,3.807150103801779e-12,1.5629715711029454e-17,2.1650139571123906e-17,4.284754729325287e-25,3.1805058793294414e-24
111,0.463447,2.15774403545605,2.7786713187970357e-24,5.406761072962864e-19,1.8932152757774677e-17,3.68383355979065e-12,1.5296942731427744e-17,2.1570461209673087e-17,4.190202496304883e-25,3.165895746955074e-24
112,0.469894,2.128139537853218,2.7443122772814703e-24,5.225568300451268e-19,1.8715438197216103e-17,3.56369066968236e-12,1.4963220057920957e-17,2.148983015951536e-17,4.0954939393851294e-25,3.151131388001594e-24
113,0.476431,2.098939825494143,2.7109682744768713e-24,5.051547432200647e-19,1.8505464897947035e-17,3.4482599655262428e-12,1.4628596606997083e-17,2.1408227660689347e-17,4.000644966760536e-25,3.136210104472737e-24
114,0.483059,2.0701405004357647,2.6773789442091645e-24,4.883259949824195e-19,1.8293634592930938e-17,3.336568151385267e-12,1.42931783590914e-17,2.1325647677401115e-17,3.9056876215909816e-25,3.1211315484108495e-24
